TRAIN 0: PRED: yellow | SIT: ^ sm1(x1) gr1(x1) tr1(x1) le2(x1,x2) sm1(x2) bl1(x2) st1(x2) ! | FEEDBACK: the green triangle to the left of the blue star !
VALIDATION 3200: PRED: the hexagon above the big ellipse| SIT: ^ bi1(x1) bl1(x1) he1(x1) le2(x1,x2) me1(x2) bl1(x2) el1(x2) !
VALIDATION 3300: PRED: the small orange star below the small orange star| SIT: ^ sm1(x1) ye1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) st1(x2) !
VALIDATION 3400: PRED: the small star below the small blue hexagon| SIT: ^ sm1(x1) pu1(x1) he1(x1) ab2(x1,x2) bi1(x2) gr1(x2) st1(x2) !
VALIDATION 3500: PRED: the medium purple hexagon below the small ellipse| SIT: ^ me1(x1) pu1(x1) el1(x1) ab2(x1,x2) sm1(x2) ye1(x2) he1(x2) !
VALIDATION 3600: PRED: the small triangle to the left of the small square| SIT: ^ sm1(x1) ye1(x1) tr1(x1) le2(x1,x2) bi1(x2) bl1(x2) sq1(x2) !
VALIDATION 3700: PRED: the medium circle below the small ellipse| SIT: ^ me1(x1) or1(x1) el1(x1) le2(x1,x2) bi1(x2) ye1(x2) ci1(x2) !
VALIDATION 3800: PRED: the small star above the small blue square| SIT: ^ sm1(x1) pu1(x1) st1(x1) le2(x1,x2) bi1(x2) bl1(x2) sq1(x2) !
VALIDATION 3900: PRED: the medium circle below the medium blue circle| SIT: ^ me1(x1) pu1(x1) he1(x1) le2(x1,x2) bi1(x2) re1(x2) ci1(x2) !
VALIDATION 4000: PRED: the small triangle to the left of the small square| SIT: ^ sm1(x1) ye1(x1) tr1(x1) ab2(x1,x2) sm1(x2) pu1(x2) sq1(x2) !
VALIDATION 4100: PRED: the big circle below the big ellipse| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) me1(x2) bl1(x2) ci1(x2) !
VALIDATION 4200: PRED: the medium purple hexagon below the small ellipse| SIT: ^ me1(x1) gr1(x1) el1(x1) ab2(x1,x2) bi1(x2) or1(x2) he1(x2) !
VALIDATION 4300: PRED: the small star below the small blue hexagon| SIT: ^ sm1(x1) re1(x1) he1(x1) le2(x1,x2) bi1(x2) gr1(x2) st1(x2) !
VALIDATION 4400: PRED: the medium star below the medium star| SIT: ^ me1(x1) re1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) st1(x2) !
VALIDATION 4500: PRED: the circle below the big circle| SIT: ^ bi1(x1) re1(x1) ci1(x1) le2(x1,x2) sm1(x2) ye1(x2) ci1(x2) !
VALIDATION 4600: PRED: the medium triangle below the small ellipse| SIT: ^ me1(x1) gr1(x1) el1(x1) le2(x1,x2) sm1(x2) or1(x2) tr1(x2) !
VALIDATION 4700: PRED: the small circle below the small circle| SIT: ^ sm1(x1) bl1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) ci1(x2) !
VALIDATION 4800: PRED: the small ellipse above the small square| SIT: ^ sm1(x1) or1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) sq1(x2) !
VALIDATION 4900: PRED: the small star above the small ellipse| SIT: ^ sm1(x1) bl1(x1) st1(x1) le2(x1,x2) sm1(x2) or1(x2) el1(x2) !
TRAIN 3600: PRED: the small circle circle below the small circle circle | SIT: ^ sm1(x1) ye1(x1) ci1(x1) ab2(x1,x2) bi1(x2) pu1(x2) he1(x2) ! | FEEDBACK: the big purple hexagon below the small yellow circle !
TRAIN 3700: PRED: the ellipse ellipse hexagon above | SIT: ^ sm1(x1) pu1(x1) el1(x1) le2(x1,x2) me1(x2) pu1(x2) he1(x2) ! | FEEDBACK: the small purple ellipse !
TRAIN 3800: PRED: the big triangle ellipse to the big | SIT: ^ bi1(x1) ye1(x1) ci1(x1) ab2(x1,x2) sm1(x2) pu1(x2) el1(x2) ! | FEEDBACK: the big yellow circle above the ellipse !
TRAIN 3900: PRED: the small ellipse to the right of the ellipse ellipse ellipse | SIT: ^ sm1(x1) pu1(x1) el1(x1) le2(x1,x2) me1(x2) gr1(x2) el1(x2) ! | FEEDBACK: the green ellipse to the right of the small purple ellipse !
TRAIN 4000: PRED: the medium square square above the medium hexagon | SIT: ^ me1(x1) re1(x1) sq1(x1) ab2(x1,x2) bi1(x2) gr1(x2) he1(x2) ! | FEEDBACK: the medium red square above the green hexagon !
VALIDATION 0: PRED: the big yellow circle above the big hexagon| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) sm1(x2) bl1(x2) he1(x2) !
VALIDATION 100: PRED: the square to the left of the circle| SIT: ^ sm1(x1) re1(x1) sq1(x1) le2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 200: PRED: the square to the left of the small star| SIT: ^ sm1(x1) or1(x1) sq1(x1) ab2(x1,x2) sm1(x2) pu1(x2) st1(x2) !
VALIDATION 300: PRED: the small circle below the triangle| SIT: ^ sm1(x1) ye1(x1) tr1(x1) le2(x1,x2) sm1(x2) or1(x2) ci1(x2) !
VALIDATION 400: PRED: the medium star above the medium hexagon| SIT: ^ me1(x1) gr1(x1) st1(x1) ab2(x1,x2) me1(x2) pu1(x2) he1(x2) !
VALIDATION 500: PRED: the big circle below the big ellipse| SIT: ^ bi1(x1) gr1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) ci1(x2) !
VALIDATION 600: PRED: the big circle below the big ellipse| SIT: ^ bi1(x1) bl1(x1) el1(x1) ab2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 700: PRED: the star to the left of the small hexagon| SIT: ^ sm1(x1) re1(x1) st1(x1) le2(x1,x2) me1(x2) or1(x2) he1(x2) !
VALIDATION 800: PRED: the big hexagon above the big circle| SIT: ^ bi1(x1) or1(x1) he1(x1) ab2(x1,x2) bi1(x2) bl1(x2) ci1(x2) !
VALIDATION 900: PRED: the big square above the big yellow ellipse| SIT: ^ bi1(x1) pu1(x1) sq1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1000: PRED: the big yellow ellipse below the big hexagon| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1100: PRED: the medium square above the medium hexagon| SIT: ^ me1(x1) bl1(x1) sq1(x1) ab2(x1,x2) bi1(x2) ye1(x2) he1(x2) !
VALIDATION 1200: PRED: the big circle above the big ellipse| SIT: ^ bi1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) ye1(x2) el1(x2) !
VALIDATION 1300: PRED: the big star below the big hexagon| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) sm1(x2) ye1(x2) st1(x2) !
VALIDATION 1400: PRED: the big star above the big ellipse| SIT: ^ bi1(x1) or1(x1) st1(x1) le2(x1,x2) bi1(x2) gr1(x2) el1(x2) !
VALIDATION 1500: PRED: the big ellipse below the big ellipse| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) bi1(x2) pu1(x2) el1(x2) !
VALIDATION 1600: PRED: the star to the left of the small ellipse| SIT: ^ sm1(x1) pu1(x1) st1(x1) le2(x1,x2) me1(x2) re1(x2) el1(x2) !
VALIDATION 1700: PRED: the medium circle above the medium star| SIT: ^ me1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) pu1(x2) st1(x2) !
VALIDATION 1800: PRED: the big circle above the big ellipse| SIT: ^ bi1(x1) ye1(x1) ci1(x1) le2(x1,x2) bi1(x2) re1(x2) el1(x2) !
VALIDATION 1900: PRED: the medium star to the left of the medium ellipse| SIT: ^ me1(x1) re1(x1) st1(x1) le2(x1,x2) bi1(x2) pu1(x2) el1(x2) !
VALIDATION 2000: PRED: the small hexagon to the left of the small hexagon| SIT: ^ sm1(x1) re1(x1) he1(x1) le2(x1,x2) me1(x2) gr1(x2) he1(x2) !
VALIDATION 2100: PRED: the small circle below the small ellipse| SIT: ^ sm1(x1) bl1(x1) el1(x1) le2(x1,x2) me1(x2) or1(x2) ci1(x2) !
VALIDATION 2200: PRED: the medium circle below the medium hexagon| SIT: ^ me1(x1) pu1(x1) he1(x1) ab2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 2300: PRED: the square to the left of the circle| SIT: ^ sm1(x1) re1(x1) sq1(x1) ab2(x1,x2) sm1(x2) pu1(x2) ci1(x2) !
VALIDATION 2400: PRED: the big circle above the triangle| SIT: ^ bi1(x1) pu1(x1) ci1(x1) le2(x1,x2) sm1(x2) gr1(x2) tr1(x2) !
VALIDATION 2500: PRED: the square below the small hexagon| SIT: ^ sm1(x1) or1(x1) he1(x1) ab2(x1,x2) bi1(x2) ye1(x2) sq1(x2) !
VALIDATION 2600: PRED: the medium circle above the medium hexagon| SIT: ^ me1(x1) ye1(x1) ci1(x1) le2(x1,x2) bi1(x2) gr1(x2) he1(x2) !
VALIDATION 2700: PRED: the star to the left of the square| SIT: ^ sm1(x1) or1(x1) st1(x1) ab2(x1,x2) bi1(x2) or1(x2) sq1(x2) !
VALIDATION 2800: PRED: the medium square below the medium ellipse| SIT: ^ me1(x1) pu1(x1) el1(x1) ab2(x1,x2) sm1(x2) ye1(x2) sq1(x2) !
VALIDATION 2900: PRED: the big circle below the big circle| SIT: ^ bi1(x1) bl1(x1) ci1(x1) ab2(x1,x2) sm1(x2) bl1(x2) ci1(x2) !
VALIDATION 3000: PRED: the big triangle to the left of the big star| SIT: ^ bi1(x1) re1(x1) tr1(x1) ab2(x1,x2) sm1(x2) pu1(x2) st1(x2) !
VALIDATION 3100: PRED: the big triangle to the left of the star| SIT: ^ bi1(x1) pu1(x1) tr1(x1) le2(x1,x2) sm1(x2) ye1(x2) st1(x2) !
VALIDATION 3200: PRED: the big yellow ellipse below the big hexagon| SIT: ^ bi1(x1) bl1(x1) he1(x1) le2(x1,x2) me1(x2) bl1(x2) el1(x2) !
VALIDATION 3300: PRED: the small circle above the small star| SIT: ^ sm1(x1) ye1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) st1(x2) !
VALIDATION 3400: PRED: the small star below the small hexagon| SIT: ^ sm1(x1) pu1(x1) he1(x1) ab2(x1,x2) bi1(x2) gr1(x2) st1(x2) !
VALIDATION 3500: PRED: the medium hexagon to the left of the medium hexagon| SIT: ^ me1(x1) pu1(x1) el1(x1) ab2(x1,x2) sm1(x2) ye1(x2) he1(x2) !
VALIDATION 3600: PRED: the triangle to the left of the square| SIT: ^ sm1(x1) ye1(x1) tr1(x1) le2(x1,x2) bi1(x2) bl1(x2) sq1(x2) !
VALIDATION 3700: PRED: the medium circle below the medium ellipse| SIT: ^ me1(x1) or1(x1) el1(x1) le2(x1,x2) bi1(x2) ye1(x2) ci1(x2) !
VALIDATION 3800: PRED: the star to the left of the square| SIT: ^ sm1(x1) pu1(x1) st1(x1) le2(x1,x2) bi1(x2) bl1(x2) sq1(x2) !
VALIDATION 3900: PRED: the medium circle below the medium hexagon| SIT: ^ me1(x1) pu1(x1) he1(x1) le2(x1,x2) bi1(x2) re1(x2) ci1(x2) !
VALIDATION 4000: PRED: the triangle to the left of the square| SIT: ^ sm1(x1) ye1(x1) tr1(x1) ab2(x1,x2) sm1(x2) pu1(x2) sq1(x2) !
VALIDATION 4100: PRED: the big circle below the big ellipse| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) me1(x2) bl1(x2) ci1(x2) !
VALIDATION 4200: PRED: the medium hexagon to the left of the medium hexagon| SIT: ^ me1(x1) gr1(x1) el1(x1) ab2(x1,x2) bi1(x2) or1(x2) he1(x2) !
VALIDATION 4300: PRED: the small star below the small hexagon| SIT: ^ sm1(x1) re1(x1) he1(x1) le2(x1,x2) bi1(x2) gr1(x2) st1(x2) !
VALIDATION 4400: PRED: the medium circle above the medium star| SIT: ^ me1(x1) re1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) st1(x2) !
VALIDATION 4500: PRED: the big circle below the big circle| SIT: ^ bi1(x1) re1(x1) ci1(x1) le2(x1,x2) sm1(x2) ye1(x2) ci1(x2) !
VALIDATION 4600: PRED: the medium ellipse above the medium triangle| SIT: ^ me1(x1) gr1(x1) el1(x1) le2(x1,x2) sm1(x2) or1(x2) tr1(x2) !
VALIDATION 4700: PRED: the circle below the circle| SIT: ^ sm1(x1) bl1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) ci1(x2) !
VALIDATION 4800: PRED: the small square below the small ellipse| SIT: ^ sm1(x1) or1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) sq1(x2) !
VALIDATION 4900: PRED: the star to the left of the small ellipse| SIT: ^ sm1(x1) bl1(x1) st1(x1) le2(x1,x2) sm1(x2) or1(x2) el1(x2) !
TRAIN 4100: PRED: the big hexagon to the hexagon | SIT: ^ bi1(x1) pu1(x1) he1(x1) ab2(x1,x2) me1(x2) bl1(x2) el1(x2) ! | FEEDBACK: the blue ellipse below the hexagon !
TRAIN 4200: PRED: the small to the left of the small star star | SIT: ^ sm1(x1) or1(x1) el1(x1) le2(x1,x2) me1(x2) pu1(x2) st1(x2) ! | FEEDBACK: the ellipse to the left of the medium purple star !
TRAIN 4300: PRED: the star star to | SIT: ^ sm1(x1) re1(x1) st1(x1) ab2(x1,x2) me1(x2) gr1(x2) st1(x2) ! | FEEDBACK: the small star !
TRAIN 4400: PRED: the big below the medium triangle triangle | SIT: ^ me1(x1) ye1(x1) tr1(x1) ab2(x1,x2) sm1(x2) pu1(x2) sq1(x2) ! | FEEDBACK: the square below the medium yellow triangle !
TRAIN 4500: PRED: the big star below | SIT: ^ bi1(x1) re1(x1) st1(x1) ab2(x1,x2) me1(x2) gr1(x2) tr1(x2) ! | FEEDBACK: the green triangle !
VALIDATION 0: PRED: the big hexagon to the right of the big ellipse| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) sm1(x2) bl1(x2) he1(x2) !
VALIDATION 100: PRED: the small circle below the square| SIT: ^ sm1(x1) re1(x1) sq1(x1) le2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 200: PRED: the small orange square to the left of the small star| SIT: ^ sm1(x1) or1(x1) sq1(x1) ab2(x1,x2) sm1(x2) pu1(x2) st1(x2) !
VALIDATION 300: PRED: the small circle below the triangle| SIT: ^ sm1(x1) ye1(x1) tr1(x1) le2(x1,x2) sm1(x2) or1(x2) ci1(x2) !
VALIDATION 400: PRED: the medium hexagon to the right of the medium star| SIT: ^ me1(x1) gr1(x1) st1(x1) ab2(x1,x2) me1(x2) pu1(x2) he1(x2) !
VALIDATION 500: PRED: the big circle to the right of the big ellipse| SIT: ^ bi1(x1) gr1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) ci1(x2) !
VALIDATION 600: PRED: the big circle to the right of the big ellipse| SIT: ^ bi1(x1) bl1(x1) el1(x1) ab2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 700: PRED: the small hexagon to the right of the small star| SIT: ^ sm1(x1) re1(x1) st1(x1) le2(x1,x2) me1(x2) or1(x2) he1(x2) !
VALIDATION 800: PRED: the big circle to the right of the big hexagon| SIT: ^ bi1(x1) or1(x1) he1(x1) ab2(x1,x2) bi1(x2) bl1(x2) ci1(x2) !
VALIDATION 900: PRED: the big yellow ellipse below the big square| SIT: ^ bi1(x1) pu1(x1) sq1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1000: PRED: the big ellipse to the right of the big hexagon| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1100: PRED: the medium hexagon to the right of the big square| SIT: ^ me1(x1) bl1(x1) sq1(x1) ab2(x1,x2) bi1(x2) ye1(x2) he1(x2) !
VALIDATION 1200: PRED: the big circle to the left of the big ellipse| SIT: ^ bi1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) ye1(x2) el1(x2) !
VALIDATION 1300: PRED: the big hexagon to the left of the big star| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) sm1(x2) ye1(x2) st1(x2) !
VALIDATION 1400: PRED: the big star to the left of the big ellipse| SIT: ^ bi1(x1) or1(x1) st1(x1) le2(x1,x2) bi1(x2) gr1(x2) el1(x2) !
VALIDATION 1500: PRED: the big ellipse to the left of the big ellipse| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) bi1(x2) pu1(x2) el1(x2) !
VALIDATION 1600: PRED: the small ellipse to the right of the small blue star| SIT: ^ sm1(x1) pu1(x1) st1(x1) le2(x1,x2) me1(x2) re1(x2) el1(x2) !
VALIDATION 1700: PRED: the big circle to the left of the medium star| SIT: ^ me1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) pu1(x2) st1(x2) !
VALIDATION 1800: PRED: the big circle to the left of the big ellipse| SIT: ^ bi1(x1) ye1(x1) ci1(x1) le2(x1,x2) bi1(x2) re1(x2) el1(x2) !
VALIDATION 1900: PRED: the medium ellipse to the right of the medium star| SIT: ^ me1(x1) re1(x1) st1(x1) le2(x1,x2) bi1(x2) pu1(x2) el1(x2) !
VALIDATION 2000: PRED: the small hexagon to the right of the small hexagon| SIT: ^ sm1(x1) re1(x1) he1(x1) le2(x1,x2) me1(x2) gr1(x2) he1(x2) !
VALIDATION 2100: PRED: the small circle to the right of the small ellipse| SIT: ^ sm1(x1) bl1(x1) el1(x1) le2(x1,x2) me1(x2) or1(x2) ci1(x2) !
VALIDATION 2200: PRED: the medium circle to the right of the medium hexagon| SIT: ^ me1(x1) pu1(x1) he1(x1) ab2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 2300: PRED: the small circle below the square| SIT: ^ sm1(x1) re1(x1) sq1(x1) ab2(x1,x2) sm1(x2) pu1(x2) ci1(x2) !
VALIDATION 2400: PRED: the big circle to the left of the big triangle| SIT: ^ bi1(x1) pu1(x1) ci1(x1) le2(x1,x2) sm1(x2) gr1(x2) tr1(x2) !
VALIDATION 2500: PRED: the small green square below the hexagon| SIT: ^ sm1(x1) or1(x1) he1(x1) ab2(x1,x2) bi1(x2) ye1(x2) sq1(x2) !
VALIDATION 2600: PRED: the medium circle to the left of the medium hexagon| SIT: ^ me1(x1) ye1(x1) ci1(x1) le2(x1,x2) bi1(x2) gr1(x2) he1(x2) !
VALIDATION 2700: PRED: the small orange square to the right of the small orange star| SIT: ^ sm1(x1) or1(x1) st1(x1) ab2(x1,x2) bi1(x2) or1(x2) sq1(x2) !
VALIDATION 2800: PRED: the medium yellow ellipse to the left of the big square| SIT: ^ me1(x1) pu1(x1) el1(x1) ab2(x1,x2) sm1(x2) ye1(x2) sq1(x2) !
VALIDATION 2900: PRED: the big circle below the big circle| SIT: ^ bi1(x1) bl1(x1) ci1(x1) ab2(x1,x2) sm1(x2) bl1(x2) ci1(x2) !
VALIDATION 3000: PRED: the big triangle to the left of the big star| SIT: ^ bi1(x1) re1(x1) tr1(x1) ab2(x1,x2) sm1(x2) pu1(x2) st1(x2) !
VALIDATION 3100: PRED: the big triangle to the left of the big star| SIT: ^ bi1(x1) pu1(x1) tr1(x1) le2(x1,x2) sm1(x2) ye1(x2) st1(x2) !
VALIDATION 3200: PRED: the big ellipse to the right of the big hexagon| SIT: ^ bi1(x1) bl1(x1) he1(x1) le2(x1,x2) me1(x2) bl1(x2) el1(x2) !
VALIDATION 3300: PRED: the small circle to the left of the small orange star| SIT: ^ sm1(x1) ye1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) st1(x2) !
VALIDATION 3400: PRED: the small hexagon to the left of the small star| SIT: ^ sm1(x1) pu1(x1) he1(x1) ab2(x1,x2) bi1(x2) gr1(x2) st1(x2) !
VALIDATION 3500: PRED: the medium hexagon to the right of the medium ellipse| SIT: ^ me1(x1) pu1(x1) el1(x1) ab2(x1,x2) sm1(x2) ye1(x2) he1(x2) !
VALIDATION 3600: PRED: the triangle to the left of the orange square| SIT: ^ sm1(x1) ye1(x1) tr1(x1) le2(x1,x2) bi1(x2) bl1(x2) sq1(x2) !
VALIDATION 3700: PRED: the medium circle to the right of the medium ellipse| SIT: ^ me1(x1) or1(x1) el1(x1) le2(x1,x2) bi1(x2) ye1(x2) ci1(x2) !
VALIDATION 3800: PRED: the small orange square to the right of the small orange star| SIT: ^ sm1(x1) pu1(x1) st1(x1) le2(x1,x2) bi1(x2) bl1(x2) sq1(x2) !
VALIDATION 3900: PRED: the medium circle to the right of the medium hexagon| SIT: ^ me1(x1) pu1(x1) he1(x1) le2(x1,x2) bi1(x2) re1(x2) ci1(x2) !
VALIDATION 4000: PRED: the triangle to the left of the orange square| SIT: ^ sm1(x1) ye1(x1) tr1(x1) ab2(x1,x2) sm1(x2) pu1(x2) sq1(x2) !
VALIDATION 4100: PRED: the big circle to the right of the big ellipse| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) me1(x2) bl1(x2) ci1(x2) !
VALIDATION 4200: PRED: the medium hexagon to the right of the medium ellipse| SIT: ^ me1(x1) gr1(x1) el1(x1) ab2(x1,x2) bi1(x2) or1(x2) he1(x2) !
VALIDATION 4300: PRED: the small hexagon to the left of the small star| SIT: ^ sm1(x1) re1(x1) he1(x1) le2(x1,x2) bi1(x2) gr1(x2) st1(x2) !
VALIDATION 4400: PRED: the medium circle to the left of the medium star| SIT: ^ me1(x1) re1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) st1(x2) !
VALIDATION 4500: PRED: the big circle below the big circle| SIT: ^ bi1(x1) re1(x1) ci1(x1) le2(x1,x2) sm1(x2) ye1(x2) ci1(x2) !
VALIDATION 4600: PRED: the medium ellipse to the left of the triangle| SIT: ^ me1(x1) gr1(x1) el1(x1) le2(x1,x2) sm1(x2) or1(x2) tr1(x2) !
VALIDATION 4700: PRED: the small circle below the circle| SIT: ^ sm1(x1) bl1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) ci1(x2) !
VALIDATION 4800: PRED: the small yellow ellipse to the left of the orange square| SIT: ^ sm1(x1) or1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) sq1(x2) !
VALIDATION 4900: PRED: the small ellipse to the right of the small blue star| SIT: ^ sm1(x1) bl1(x1) st1(x1) le2(x1,x2) sm1(x2) or1(x2) el1(x2) !
TRAIN 4600: PRED: the small hexagon hexagon below the right of the small hexagon | SIT: ^ sm1(x1) or1(x1) he1(x1) le2(x1,x2) sm1(x2) pu1(x2) sq1(x2) ! | FEEDBACK: the small purple square to the right of the orange hexagon !
TRAIN 4700: PRED: the big hexagon to the left of the hexagon hexagon | SIT: ^ bi1(x1) pu1(x1) ci1(x1) le2(x1,x2) me1(x2) re1(x2) he1(x2) ! | FEEDBACK: the purple circle to the left of the medium hexagon !
TRAIN 4800: PRED: the small ellipse to the small ellipse ellipse | SIT: ^ sm1(x1) bl1(x1) el1(x1) ab2(x1,x2) sm1(x2) gr1(x2) el1(x2) ! | FEEDBACK: the small ellipse below the small blue ellipse !
TRAIN 4900: PRED: the big star to the hexagon | SIT: ^ bi1(x1) gr1(x1) he1(x1) ab2(x1,x2) sm1(x2) ye1(x2) st1(x2) ! | FEEDBACK: the yellow star below the hexagon !
TRAIN 5000: PRED: the small star below the hexagon hexagon | SIT: ^ sm1(x1) gr1(x1) he1(x1) ab2(x1,x2) bi1(x2) gr1(x2) st1(x2) ! | FEEDBACK: the green star below the small hexagon !
VALIDATION 0: PRED: the big ellipse to the left of the hexagon| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) sm1(x2) bl1(x2) he1(x2) !
VALIDATION 100: PRED: the small circle to the right of the small square| SIT: ^ sm1(x1) re1(x1) sq1(x1) le2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 200: PRED: the small star below the small square| SIT: ^ sm1(x1) or1(x1) sq1(x1) ab2(x1,x2) sm1(x2) pu1(x2) st1(x2) !
VALIDATION 300: PRED: the triangle to the left of the circle| SIT: ^ sm1(x1) ye1(x1) tr1(x1) le2(x1,x2) sm1(x2) or1(x2) ci1(x2) !
VALIDATION 400: PRED: the medium hexagon to the right of the star| SIT: ^ me1(x1) gr1(x1) st1(x1) ab2(x1,x2) me1(x2) pu1(x2) he1(x2) !
VALIDATION 500: PRED: the big ellipse to the left of the big circle| SIT: ^ bi1(x1) gr1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) ci1(x2) !
VALIDATION 600: PRED: the big ellipse to the left of the big circle| SIT: ^ bi1(x1) bl1(x1) el1(x1) ab2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 700: PRED: the small hexagon to the right of the small star| SIT: ^ sm1(x1) re1(x1) st1(x1) le2(x1,x2) me1(x2) or1(x2) he1(x2) !
VALIDATION 800: PRED: the big hexagon to the left of the big circle| SIT: ^ bi1(x1) or1(x1) he1(x1) ab2(x1,x2) bi1(x2) bl1(x2) ci1(x2) !
VALIDATION 900: PRED: the big orange ellipse to the right of the big square| SIT: ^ bi1(x1) pu1(x1) sq1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1000: PRED: the big hexagon to the left of the ellipse| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1100: PRED: the medium hexagon to the right of the medium square| SIT: ^ me1(x1) bl1(x1) sq1(x1) ab2(x1,x2) bi1(x2) ye1(x2) he1(x2) !
VALIDATION 1200: PRED: the big circle to the left of the ellipse| SIT: ^ bi1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) ye1(x2) el1(x2) !
VALIDATION 1300: PRED: the big hexagon to the left of the star| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) sm1(x2) ye1(x2) st1(x2) !
VALIDATION 1400: PRED: the big star to the left of the ellipse| SIT: ^ bi1(x1) or1(x1) st1(x1) le2(x1,x2) bi1(x2) gr1(x2) el1(x2) !
VALIDATION 1500: PRED: the big ellipse to the right of the ellipse| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) bi1(x2) pu1(x2) el1(x2) !
VALIDATION 1600: PRED: the small ellipse to the right of the small star| SIT: ^ sm1(x1) pu1(x1) st1(x1) le2(x1,x2) me1(x2) re1(x2) el1(x2) !
VALIDATION 1700: PRED: the medium star below the medium circle| SIT: ^ me1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) pu1(x2) st1(x2) !
VALIDATION 1800: PRED: the big circle to the left of the ellipse| SIT: ^ bi1(x1) ye1(x1) ci1(x1) le2(x1,x2) bi1(x2) re1(x2) el1(x2) !
VALIDATION 1900: PRED: the medium ellipse to the right of the star| SIT: ^ me1(x1) re1(x1) st1(x1) le2(x1,x2) bi1(x2) pu1(x2) el1(x2) !
VALIDATION 2000: PRED: the hexagon to the right of the hexagon| SIT: ^ sm1(x1) re1(x1) he1(x1) le2(x1,x2) me1(x2) gr1(x2) he1(x2) !
VALIDATION 2100: PRED: the small ellipse to the left of the circle| SIT: ^ sm1(x1) bl1(x1) el1(x1) le2(x1,x2) me1(x2) or1(x2) ci1(x2) !
VALIDATION 2200: PRED: the medium hexagon to the left of the medium circle| SIT: ^ me1(x1) pu1(x1) he1(x1) ab2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 2300: PRED: the small circle to the right of the small blue square| SIT: ^ sm1(x1) re1(x1) sq1(x1) ab2(x1,x2) sm1(x2) pu1(x2) ci1(x2) !
VALIDATION 2400: PRED: the big circle to the left of the triangle| SIT: ^ bi1(x1) pu1(x1) ci1(x1) le2(x1,x2) sm1(x2) gr1(x2) tr1(x2) !
